,Daily New Cases,,owid-covid-data.csv,,,,,Monthly Unempolyment Rate,,,,,Government Response Index,,,,,,,Containment Health Index,,,,,,,Economic Support Index,,,,,,Stringency Index,,
,https://github.com/owid/covid-19-data/tree/master/public/data,,,,,,Region,Singapore,United Kingdom,United States,,,https://github.com/OxCGRT/covid-policy-tracker/tree/master/data/timeseries,,,,,,,,,,,,,,,,,,,,,,
Date,Singapore,United Kingdom,United States,,,,01/2020,2.4,3.9,3.5,,,Singapore,United Kingdom,United States,,,,,Singapore,United Kingdom,United States,,,,,Singapore,United Kingdom,United States,,,,Singapore,United Kingdom,United States
2020/1/1,0,0,0,,,,02/2020,2.4,3.9,3.5,,2020/1/1,3.12,0,0,,,,2020/1/1,3.57,0,0,,,,2020/1/1,0,0,0,,,2020/1/1,5.56,0,0
2020/1/2,0,0,0,,,,03/2020,2.4,3.9,4.4,,2020/1/2,13.02,0,0,,,,2020/1/2,14.88,0,0,,,,2020/1/2,0,0,0,,,2020/1/2,19.44,0,0
2020/1/3,0,0,0,,,,04/2020,2.6,3.9,14.8,,2020/1/3,13.02,0,0,,,,2020/1/3,14.88,0,0,,,,2020/1/3,0,0,0,,,2020/1/3,19.44,0,0
2020/1/4,0,0,0,,,,05/2020,2.8,3.8,13.3,,2020/1/4,13.02,0,0,,,,2020/1/4,14.88,0,0,,,,2020/1/4,0,0,0,,,2020/1/4,19.44,0,0
2020/1/5,0,0,0,,,,06/2020,2.8,4,11.1,,2020/1/5,13.02,0,0,,,,2020/1/5,14.88,0,0,,,,2020/1/5,0,0,0,,,2020/1/5,19.44,0,0
2020/1/6,0,0,0,,,,07/2020,3.2,4.4,10.2,,2020/1/6,13.02,0,0,,,,2020/1/6,14.88,0,0,,,,2020/1/6,0,0,0,,,2020/1/6,19.44,0,0
2020/1/7,0,0,0,,,,08/2020,3.4,4.7,8.4,,2020/1/7,13.02,0,0,,,,2020/1/7,14.88,0,0,,,,2020/1/7,0,0,0,,,2020/1/7,19.44,0,0
2020/1/8,0,0,0,,,,09/2020,3.5,4.9,7.8,,2020/1/8,13.02,0,0,,,,2020/1/8,14.88,0,0,,,,2020/1/8,0,0,0,,,2020/1/8,19.44,0,0
2020/1/9,0,0,0,,,,10/2020,3.5,5.1,6.9,,2020/1/9,13.02,0,0,,,,2020/1/9,14.88,0,0,,,,2020/1/9,0,0,0,,,2020/1/9,19.44,0,0
2020/1/10,0,0,0,,,,11/2020,3.4,5.3,6.7,,2020/1/10,13.02,0,0,,,,2020/1/10,14.88,0,0,,,,2020/1/10,0,0,0,,,2020/1/10,19.44,0,0
2020/1/11,0,0,0,,,,12/2020,3.3,5.5,6.7,,2020/1/11,13.02,0,0,,,,2020/1/11,14.88,0,0,,,,2020/1/11,0,0,0,,,2020/1/11,19.44,0,0
2020/1/12,0,0,0,,,,01/2021,3.2,5.7,6.3,,2020/1/12,13.02,0,0,,,,2020/1/12,14.88,0,0,,,,2020/1/12,0,0,0,,,2020/1/12,19.44,0,0
2020/1/13,0,0,0,,,,02/2021,3,5.9,6.2,,2020/1/13,13.02,0,0,,,,2020/1/13,14.88,0,0,,,,2020/1/13,0,0,0,,,2020/1/13,19.44,0,0
2020/1/14,0,0,0,,,,03/2021,2.9,6.1,6,,2020/1/14,13.02,0,0,,,,2020/1/14,14.88,0,0,,,,2020/1/14,0,0,0,,,2020/1/14,19.44,0,0
2020/1/15,0,0,0,,,,04/2021,2.9,6.3,6.1,,2020/1/15,13.02,0,0,,,,2020/1/15,14.88,0,0,,,,2020/1/15,0,0,0,,,2020/1/15,19.44,0,0
2020/1/16,0,0,0,,,,05/2021,2.9,6.5,5.8,,2020/1/16,13.02,0,0,,,,2020/1/16,14.88,0,0,,,,2020/1/16,0,0,0,,,2020/1/16,19.44,0,0
2020/1/17,0,0,0,,,,,,,,,2020/1/17,13.02,0,0,,,,2020/1/17,14.88,0,0,,,,2020/1/17,0,0,0,,,2020/1/17,19.44,0,0
2020/1/18,0,0,0,,,,,,,,,2020/1/18,13.02,0,0,,,,2020/1/18,14.88,0,0,,,,2020/1/18,0,0,0,,,2020/1/18,19.44,0,0
2020/1/19,0,0,0,,,,,,,,,2020/1/19,13.02,0,0,,,,2020/1/19,14.88,0,0,,,,2020/1/19,0,0,0,,,2020/1/19,19.44,0,0
2020/1/20,0,0,0,,,,,,,,,2020/1/20,19.27,5.21,0,,,,2020/1/20,22.02,5.95,0,,,,2020/1/20,0,0,0,,,2020/1/20,19.44,5.56,0
2020/1/21,0,0,0,,,,,,,,,2020/1/21,19.27,5.21,3.12,,,,2020/1/21,22.02,5.95,3.57,,,,2020/1/21,0,0,0,,,2020/1/21,19.44,5.56,0
2020/1/22,0,0,0,,,,,,,,,2020/1/22,19.27,5.21,3.12,,,,2020/1/22,22.02,5.95,3.57,,,,2020/1/22,0,0,0,,,2020/1/22,19.44,5.56,0
2020/1/23,1,0,0,,,,,,,,,2020/1/23,24.48,5.21,3.12,,,,2020/1/23,27.98,5.95,3.57,,,,2020/1/23,0,0,0,,,2020/1/23,25,5.56,0
2020/1/24,2,0,1,,,,,,,,,2020/1/24,24.48,5.21,3.12,,,,2020/1/24,27.98,5.95,3.57,,,,2020/1/24,0,0,0,,,2020/1/24,25,5.56,0
2020/1/25,0,0,0,,,,,,,,,2020/1/25,24.48,5.21,3.12,,,,2020/1/25,27.98,5.95,3.57,,,,2020/1/25,0,0,0,,,2020/1/25,25,5.56,0
2020/1/26,1,0,3,,,,,,,,,2020/1/26,24.48,5.21,3.12,,,,2020/1/26,27.98,5.95,3.57,,,,2020/1/26,0,0,0,,,2020/1/26,25,5.56,0
2020/1/27,1,0,0,,,,,,,,,2020/1/27,24.48,5.21,3.12,,,,2020/1/27,27.98,5.95,3.57,,,,2020/1/27,0,0,0,,,2020/1/27,25,5.56,0
2020/1/28,2,0,0,,,,,,,,,2020/1/28,24.48,5.21,3.12,,,,2020/1/28,27.98,5.95,3.57,,,,2020/1/28,0,0,0,,,2020/1/28,25,5.56,0
2020/1/29,0,0,1,,,,,,,,,2020/1/29,24.48,5.21,3.12,,,,2020/1/29,27.98,5.95,3.57,,,,2020/1/29,0,0,0,,,2020/1/29,25,5.56,0
2020/1/30,3,0,0,,,,,,,,,2020/1/30,24.48,5.21,3.12,,,,2020/1/30,27.98,5.95,3.57,,,,2020/1/30,0,0,0,,,2020/1/30,25,5.56,0
2020/1/31,3,2,2,,,,,,,,,2020/1/31,24.48,13.02,3.12,,,,2020/1/31,27.98,14.88,3.57,,,,2020/1/31,0,0,0,,,2020/1/31,25,8.33,0
2020/2/1,3,0,0,,,,,,,,,2020/2/1,24.48,13.02,3.12,,,,2020/2/1,27.98,14.88,3.57,,,,2020/2/1,0,0,0,,,2020/2/1,25,8.33,0
2020/2/2,2,0,0,,,,,,,,,2020/2/2,24.48,14.58,6.25,,,,2020/2/2,27.98,16.67,7.14,,,,2020/2/2,0,0,0,,,2020/2/2,25,11.11,5.56
2020/2/3,0,6,3,,,,,,,,,2020/2/3,24.48,14.58,6.25,,,,2020/2/3,27.98,16.67,7.14,,,,2020/2/3,0,0,0,,,2020/2/3,25,11.11,5.56
2020/2/4,6,0,0,,,,,,,,,2020/2/4,28.65,14.58,6.25,,,,2020/2/4,32.74,16.67,7.14,,,,2020/2/4,0,0,0,,,2020/2/4,25,11.11,5.56
2020/2/5,4,1,0,,,,,,,,,2020/2/5,28.65,14.58,6.25,,,,2020/2/5,32.74,16.67,7.14,,,,2020/2/5,0,0,0,,,2020/2/5,25,11.11,5.56
2020/2/6,0,0,1,,,,,,,,,2020/2/6,28.65,14.58,8.33,,,,2020/2/6,32.74,16.67,9.52,,,,2020/2/6,0,0,0,,,2020/2/6,25,11.11,5.56
2020/2/7,2,0,0,,,,,,,,,2020/2/7,31.77,14.58,8.33,,,,2020/2/7,36.31,16.67,9.52,,,,2020/2/7,0,0,0,,,2020/2/7,30.56,11.11,5.56
2020/2/8,3,4,0,,,,,,,,,2020/2/8,31.77,14.58,8.33,,,,2020/2/8,36.31,16.67,9.52,,,,2020/2/8,0,0,0,,,2020/2/8,30.56,11.11,5.56
2020/2/9,7,1,0,,,,,,,,,2020/2/9,31.77,14.58,8.33,,,,2020/2/9,36.31,16.67,9.52,,,,2020/2/9,0,0,0,,,2020/2/9,30.56,11.11,5.56
2020/2/10,5,0,0,,,,,,,,,2020/2/10,31.77,14.58,8.33,,,,2020/2/10,36.31,16.67,9.52,,,,2020/2/10,0,0,0,,,2020/2/10,30.56,11.11,5.56
2020/2/11,2,1,1,,,,,,,,,2020/2/11,31.77,14.58,8.33,,,,2020/2/11,36.31,16.67,9.52,,,,2020/2/11,0,0,0,,,2020/2/11,30.56,11.11,5.56
2020/2/12,3,1,0,,,,,,,,,2020/2/12,31.77,14.58,8.33,,,,2020/2/12,36.31,16.67,9.52,,,,2020/2/12,0,0,0,,,2020/2/12,30.56,11.11,5.56
2020/2/13,8,1,1,,,,,,,,,2020/2/13,31.77,14.58,8.33,,,,2020/2/13,36.31,16.67,9.52,,,,2020/2/13,0,0,0,,,2020/2/13,30.56,11.11,5.56
2020/2/14,9,1,0,,,,,,,,,2020/2/14,31.77,14.58,8.33,,,,2020/2/14,36.31,16.67,9.52,,,,2020/2/14,0,0,0,,,2020/2/14,30.56,11.11,5.56
2020/2/15,5,0,0,,,,,,,,,2020/2/15,31.77,14.58,8.33,,,,2020/2/15,36.31,16.67,9.52,,,,2020/2/15,0,0,0,,,2020/2/15,30.56,11.11,5.56
2020/2/16,3,0,0,,,,,,,,,2020/2/16,31.77,14.58,8.33,,,,2020/2/16,36.31,16.67,9.52,,,,2020/2/16,0,0,0,,,2020/2/16,30.56,11.11,5.56
2020/2/17,2,1,0,,,,,,,,,2020/2/17,31.77,14.58,8.33,,,,2020/2/17,36.31,16.67,9.52,,,,2020/2/17,0,0,0,,,2020/2/17,30.56,11.11,5.56
2020/2/18,4,0,0,,,,,,,,,2020/2/18,31.77,14.58,8.33,,,,2020/2/18,36.31,16.67,9.52,,,,2020/2/18,0,0,0,,,2020/2/18,30.56,11.11,5.56
2020/2/19,3,1,0,,,,,,,,,2020/2/19,31.77,14.58,8.33,,,,2020/2/19,36.31,16.67,9.52,,,,2020/2/19,0,0,0,,,2020/2/19,30.56,11.11,5.56
2020/2/20,0,2,0,,,,,,,,,2020/2/20,31.77,14.58,8.33,,,,2020/2/20,36.31,16.67,9.52,,,,2020/2/20,0,0,0,,,2020/2/20,30.56,11.11,5.56
2020/2/21,1,1,2,,,,,,,,,2020/2/21,31.77,14.58,8.33,,,,2020/2/21,36.31,16.67,9.52,,,,2020/2/21,0,0,0,,,2020/2/21,30.56,11.11,5.56
2020/2/22,0,0,0,,,,,,,,,2020/2/22,31.77,14.58,8.33,,,,2020/2/22,36.31,16.67,9.52,,,,2020/2/22,0,0,0,,,2020/2/22,30.56,11.11,5.56
2020/2/23,4,5,0,,,,,,,,,2020/2/23,31.77,14.58,8.33,,,,2020/2/23,36.31,16.67,9.52,,,,2020/2/23,0,0,0,,,2020/2/23,30.56,11.11,5.56
2020/2/24,0,2,0,,,,,,,,,2020/2/24,31.77,14.58,8.33,,,,2020/2/24,36.31,16.67,9.52,,,,2020/2/24,0,0,0,,,2020/2/24,30.56,11.11,5.56
2020/2/25,2,4,0,,,,,,,,,2020/2/25,31.77,14.58,8.33,,,,2020/2/25,36.31,16.67,9.52,,,,2020/2/25,0,0,0,,,2020/2/25,30.56,11.11,5.56
2020/2/26,2,3,0,,,,,,,,,2020/2/26,31.77,14.58,8.33,,,,2020/2/26,36.31,16.67,9.52,,,,2020/2/26,0,0,0,,,2020/2/26,30.56,11.11,5.56
2020/2/27,0,7,1,,,,,,,,,2020/2/27,31.77,14.58,8.33,,,,2020/2/27,36.31,16.67,9.52,,,,2020/2/27,0,0,0,,,2020/2/27,30.56,11.11,5.56
2020/2/28,0,12,0,,,,,,,,,2020/2/28,31.77,14.58,10.42,,,,2020/2/28,36.31,16.67,11.9,,,,2020/2/28,0,0,0,,,2020/2/28,30.56,11.11,5.56
2020/2/29,9,5,8,,,,,,,,,2020/2/29,31.77,14.58,10.42,,,,2020/2/29,36.31,16.67,11.9,,,,2020/2/29,0,0,0,,,2020/2/29,30.56,11.11,5.56
2020/3/1,4,33,7,,,,,,,,,2020/3/1,31.77,14.58,11.98,,,,2020/3/1,36.31,16.67,13.69,,,,2020/3/1,0,0,0,,,2020/3/1,30.56,11.11,8.33
2020/3/2,2,40,23,,,,,,,,,2020/3/2,31.77,14.58,13.54,,,,2020/3/2,36.31,16.67,15.48,,,,2020/3/2,0,0,0,,,2020/3/2,30.56,11.11,11.11
2020/3/3,2,55,19,,,,,,,,,2020/3/3,31.77,14.58,13.54,,,,2020/3/3,36.31,16.67,15.48,,,,2020/3/3,0,0,0,,,2020/3/3,30.56,11.11,11.11
2020/3/4,0,57,33,,,,,,,,,2020/3/4,31.77,14.58,15.62,,,,2020/3/4,36.31,16.67,17.86,,,,2020/3/4,0,0,0,,,2020/3/4,30.56,11.11,11.11
2020/3/5,7,49,77,,,,,,,,,2020/3/5,31.77,14.58,20.83,,,,2020/3/5,36.31,16.67,23.81,,,,2020/3/5,0,0,0,,,2020/3/5,30.56,11.11,20.37
2020/3/6,13,79,53,,,,,,,,,2020/3/6,31.77,14.58,20.83,,,,2020/3/6,36.31,16.67,23.81,,,,2020/3/6,0,0,0,,,2020/3/6,30.56,11.11,20.37
2020/3/7,8,55,166,,,,,,,,,2020/3/7,31.77,14.58,20.83,,,,2020/3/7,36.31,16.67,23.81,,,,2020/3/7,0,0,0,,,2020/3/7,30.56,11.11,20.37
2020/3/8,12,54,116,,,,,,,,,2020/3/8,31.77,14.58,20.83,,,,2020/3/8,36.31,16.67,23.81,,,,2020/3/8,0,0,0,,,2020/3/8,30.56,11.11,20.37
2020/3/9,0,147,75,,,,,,,,,2020/3/9,31.77,14.58,20.83,,,,2020/3/9,36.31,16.67,23.81,,,,2020/3/9,0,0,0,,,2020/3/9,30.56,11.11,20.37
2020/3/10,10,259,188,,,,,,,,,2020/3/10,31.77,14.58,21.61,,,,2020/3/10,36.31,16.67,24.7,,,,2020/3/10,0,0,0,,,2020/3/10,30.56,11.11,20.37
2020/3/11,18,412,365,,,,,,,,,2020/3/11,31.77,14.58,22.4,,,,2020/3/11,36.31,16.67,25.6,,,,2020/3/11,0,0,0,,,2020/3/11,30.56,11.11,21.76
2020/3/12,0,489,439,,,,,,,,,2020/3/12,31.77,8.33,27.08,,,,2020/3/12,36.31,9.52,30.95,,,,2020/3/12,0,0,0,,,2020/3/12,30.56,11.11,30.09
2020/3/13,22,480,633,,,,,,,,,2020/3/13,34.9,9.38,29.17,,,,2020/3/13,39.88,10.71,33.33,,,,2020/3/13,0,0,0,,,2020/3/13,36.11,12.96,30.09
2020/3/14,12,364,759,,,,,,,,,2020/3/14,34.9,9.38,34.38,,,,2020/3/14,39.88,10.71,39.29,,,,2020/3/14,0,0,0,,,2020/3/14,36.11,12.96,35.65
2020/3/15,14,443,234,,,,,,,,,2020/3/15,34.9,9.38,37.5,,,,2020/3/15,39.88,10.71,42.86,,,,2020/3/15,0,0,0,,,2020/3/15,36.11,12.96,41.2
2020/3/16,17,615,1467,,,,,,,,,2020/3/16,34.9,11.46,43.75,,,,2020/3/16,39.88,13.1,50,,,,2020/3/16,0,0,0,,,2020/3/16,36.11,16.67,52.31
2020/3/17,23,770,1833,,,,,,,,,2020/3/17,34.9,17.71,45.31,,,,2020/3/17,39.88,16.67,51.79,,,,2020/3/17,0,25,0,,,2020/3/17,36.11,22.22,55.09
2020/3/18,47,1006,2657,,,,,,,,,2020/3/18,34.9,22.92,45.31,,,,2020/3/18,39.88,22.62,51.79,,,,2020/3/18,0,25,0,,,2020/3/18,36.11,31.48,55.09
2020/3/19,32,1066,4494,,,,,,,,,2020/3/19,34.9,26.04,52.08,,,,2020/3/19,39.88,22.62,59.52,,,,2020/3/19,0,50,0,,,2020/3/19,36.11,31.48,67.13
2020/3/20,40,1258,6367,,,,,,,,,2020/3/20,34.9,33.85,52.08,,,,2020/3/20,39.88,26.19,59.52,,,,2020/3/20,0,87.5,0,,,2020/3/20,36.11,37.04,67.13
2020/3/21,47,1215,5995,,,,,,,,,2020/3/21,34.9,39.58,55.21,,,,2020/3/21,39.88,32.74,63.1,,,,2020/3/21,0,87.5,0,,,2020/3/21,36.11,47.22,72.69
2020/3/22,23,1388,8873,,,,,,,,,2020/3/22,34.9,47.92,55.21,,,,2020/3/22,39.88,42.26,63.1,,,,2020/3/22,0,87.5,0,,,2020/3/22,36.11,62.04,72.69
2020/3/23,54,2349,11238,,,,,,,,,2020/3/23,34.9,63.28,55.21,,,,2020/3/23,39.88,59.82,63.1,,,,2020/3/23,0,87.5,0,,,2020/3/23,36.11,78.24,72.69
2020/3/24,49,2382,10619,,,,,,,,,2020/3/24,34.9,64.06,55.21,,,,2020/3/24,39.88,60.71,63.1,,,,2020/3/24,0,87.5,0,,,2020/3/24,36.11,79.63,72.69
2020/3/25,73,2717,12082,,,,,,,,,2020/3/25,34.9,64.06,55.21,,,,2020/3/25,39.88,60.71,63.1,,,,2020/3/25,0,87.5,0,,,2020/3/25,36.11,79.63,72.69
2020/3/26,52,3127,17856,,,,,,,,,2020/3/26,34.9,65.62,55.21,,,,2020/3/26,39.88,60.71,63.1,,,,2020/3/26,0,100,0,,,2020/3/26,36.11,79.63,72.69
2020/3/27,49,3249,18690,,,,,,,,,2020/3/27,34.9,65.62,63.02,,,,2020/3/27,39.88,60.71,63.1,,,,2020/3/27,0,100,62.5,,,2020/3/27,36.11,79.63,72.69
2020/3/28,70,2843,19630,,,,,,,,,2020/3/28,34.9,65.62,63.02,,,,2020/3/28,39.88,60.71,63.1,,,,2020/3/28,0,100,62.5,,,2020/3/28,36.11,79.63,72.69
2020/3/29,42,2892,18899,,,,,,,,,2020/3/29,34.9,65.62,63.02,,,,2020/3/29,39.88,60.71,63.1,,,,2020/3/29,0,100,62.5,,,2020/3/29,36.11,79.63,72.69
2020/3/30,35,4327,22075,,,,,,,,,2020/3/30,34.9,65.62,63.02,,,,2020/3/30,39.88,60.71,63.1,,,,2020/3/30,0,100,62.5,,,2020/3/30,36.11,79.63,72.69
2020/3/31,47,4534,26314,,,,,,,,,2020/3/31,34.9,65.62,63.02,,,,2020/3/31,39.88,60.71,63.1,,,,2020/3/31,0,100,62.5,,,2020/3/31,36.11,79.63,72.69
2020/4/1,74,4974,32286,,,,,,,,,2020/4/1,38.02,65.62,63.02,,,,2020/4/1,39.88,60.71,63.1,,,,2020/4/1,25,100,62.5,,,2020/4/1,36.11,79.63,72.69
2020/4/2,49,4929,32222,,,,,,,,,2020/4/2,40.1,65.62,63.02,,,,2020/4/2,42.26,60.71,63.1,,,,2020/4/2,25,100,62.5,,,2020/4/2,36.11,79.63,72.69
2020/4/3,65,4981,32307,,,,,,,,,2020/4/3,46.88,65.62,63.02,,,,2020/4/3,50,60.71,63.1,,,,2020/4/3,25,100,62.5,,,2020/4/3,45.37,79.63,72.69
2020/4/4,75,4073,32386,,,,,,,,,2020/4/4,46.88,65.62,64.58,,,,2020/4/4,50,60.71,64.88,,,,2020/4/4,25,100,62.5,,,2020/4/4,45.37,79.63,72.69
2020/4/5,120,3650,29895,,,,,,,,,2020/4/5,46.88,65.62,64.58,,,,2020/4/5,50,60.71,64.88,,,,2020/4/5,25,100,62.5,,,2020/4/5,45.37,79.63,72.69
2020/4/6,66,5316,31390,,,,,,,,,2020/4/6,46.88,65.62,66.15,,,,2020/4/6,50,60.71,66.67,,,,2020/4/6,25,100,62.5,,,2020/4/6,45.37,79.63,72.69
2020/4/7,106,5486,30779,,,,,,,,,2020/4/7,53.13,65.62,66.15,,,,2020/4/7,57.14,60.71,66.67,,,,2020/4/7,25,100,62.5,,,2020/4/7,56.48,79.63,72.69
2020/4/8,142,5163,31235,,,,,,,,,2020/4/8,64.58,65.62,66.15,,,,2020/4/8,70.24,60.71,66.67,,,,2020/4/8,25,100,62.5,,,2020/4/8,76.85,79.63,72.69
2020/4/9,287,4906,35942,,,,,,,,,2020/4/9,64.58,65.62,66.15,,,,2020/4/9,70.24,60.71,66.67,,,,2020/4/9,25,100,62.5,,,2020/4/9,76.85,79.63,72.69
2020/4/10,198,4367,34403,,,,,,,,,2020/4/10,64.58,65.62,66.15,,,,2020/4/10,70.24,60.71,66.67,,,,2020/4/10,25,100,62.5,,,2020/4/10,76.85,79.63,72.69
2020/4/11,191,3613,29083,,,,,,,,,2020/4/11,64.58,65.62,66.15,,,,2020/4/11,70.24,60.71,66.67,,,,2020/4/11,25,100,62.5,,,2020/4/11,76.85,79.63,72.69
2020/4/12,233,3539,27256,,,,,,,,,2020/4/12,64.58,65.62,66.15,,,,2020/4/12,70.24,60.71,66.67,,,,2020/4/12,25,100,62.5,,,2020/4/12,76.85,79.63,72.69
2020/4/13,386,4205,26939,,,,,,,,,2020/4/13,64.58,65.62,66.15,,,,2020/4/13,70.24,60.71,66.67,,,,2020/4/13,25,100,62.5,,,2020/4/13,76.85,79.63,72.69
2020/4/14,334,4348,28818,,,,,,,,,2020/4/14,69.27,65.62,66.15,,,,2020/4/14,75.6,60.71,66.67,,,,2020/4/14,25,100,62.5,,,2020/4/14,76.85,79.63,72.69
2020/4/15,447,5100,25408,,,,,,,,,2020/4/15,69.27,65.62,66.15,,,,2020/4/15,75.6,60.71,66.67,,,,2020/4/15,25,100,62.5,,,2020/4/15,76.85,79.63,72.69
2020/4/16,728,5343,30002,,,,,,,,,2020/4/16,69.27,65.62,66.15,,,,2020/4/16,75.6,60.71,66.67,,,,2020/4/16,25,100,62.5,,,2020/4/16,76.85,79.63,72.69
2020/4/17,623,4990,33066,,,,,,,,,2020/4/17,69.27,65.62,66.15,,,,2020/4/17,75.6,60.71,66.67,,,,2020/4/17,25,100,62.5,,,2020/4/17,76.85,79.63,72.69
2020/4/18,942,4736,27907,,,,,,,,,2020/4/18,69.27,65.62,66.15,,,,2020/4/18,75.6,60.71,66.67,,,,2020/4/18,25,100,62.5,,,2020/4/18,76.85,79.63,72.69
2020/4/19,596,3860,26062,,,,,,,,,2020/4/19,69.27,65.62,66.15,,,,2020/4/19,75.6,60.71,66.67,,,,2020/4/19,25,100,62.5,,,2020/4/19,76.85,79.63,72.69
2020/4/20,1426,4866,29820,,,,,,,,,2020/4/20,75.52,65.62,66.15,,,,2020/4/20,75.6,60.71,66.67,,,,2020/4/20,75,100,62.5,,,2020/4/20,76.85,79.63,72.69
2020/4/21,1111,4775,25926,,,,,,,,,2020/4/21,75.52,65.62,66.15,,,,2020/4/21,75.6,60.71,66.67,,,,2020/4/21,75,100,62.5,,,2020/4/21,76.85,79.63,72.69
2020/4/22,1016,5505,28911,,,,,,,,,2020/4/22,75.52,65.62,66.15,,,,2020/4/22,75.6,60.71,66.67,,,,2020/4/22,75,100,62.5,,,2020/4/22,76.85,79.63,72.69
2020/4/23,1037,5168,33612,,,,,,,,,2020/4/23,75.52,65.62,66.15,,,,2020/4/23,75.6,60.71,66.67,,,,2020/4/23,75,100,62.5,,,2020/4/23,76.85,79.63,72.69
2020/4/24,897,4981,32327,,,,,,,,,2020/4/24,75.52,65.62,66.15,,,,2020/4/24,75.6,60.71,66.67,,,,2020/4/24,75,100,62.5,,,2020/4/24,76.85,79.63,72.69
